ensembl_id	c1	c2	c3	c4	c5	c6	c7	c8	t1	t2	t3	t4	t5	t6	t7	t8
ENSG00000131269.14	783	1873	1146	1181	2456	3498	1862	2843	1485	1510	1280	1100	2078	988	1764	1630
ENSG00000131323.13	2172	1856	3337	3939	6883	5202	4710	5758	4289	2637	3558	2122	6291	3003	5426	3191
ENSG00000131351.13	472	1911	630	760	536	646	864	301	485	1144	974	385	728	520	565	812
ENSG00000131355.13	8	6	64	13	103	10	9	75	54	0	4	27	55	7	299	70
ENSG00000131368.6	1161	2163	1917	1404	2990	2078	1253	2539	3252	2370	1147	1185	1409	1675	2415	3835
ENSG00000131370.14	561	173	328	879	411	939	592	168	986	383	166	295	438	479	607	439
ENSG00000131373.13	1232	1433	1116	1263	1485	2391	628	669	1141	1627	1046	680	858	946	1203	1805
ENSG00000131374.13	4720	3073	11151	9894	7428	9282	3018	6479	8679	4438	3923	4743	8626	3556	3531	2558
ENSG00000131375.8	1430	1533	2518	2221	3344	4442	1411	2009	3538	1543	2174	2469	2385	1524	2045	2799
ENSG00000131378.12	4813	1710	2152	2576	2318	922	910	1769	6019	1255	973	1998	4903	1879	3612	1127
